area,perimeter,compactness,length_kernel,width_kernel,asymmetry_coeff,length_of_kernel_groove,target
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,3
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,3
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1
11.18,12.72,0.868,5.009,2.81,4.051,4.828,3
15.56,14.89,0.8823,5.776,3.408,4.972,5.847,2
12.7,13.41,0.8874,5.183,3.091,8.456,5.0,3
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,2
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
11.19,13.05,0.8253,5.25,2.675,5.813,5.219,3
19.46,16.5,0.8985,6.113,3.892,4.308,6.009,2
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,1
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1
16.17,15.38,0.8588,5.762,3.387,4.286,5.703,2
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,2
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,2
11.02,13.0,0.8189,5.325,2.701,6.735,5.163,3
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2
16.23,15.18,0.885,5.872,3.472,3.769,5.922,2
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1
12.55,13.57,0.8558,5.333,2.968,4.419,5.176,3
12.02,13.33,0.8503,5.35,2.81,4.271,5.308,3
11.43,13.13,0.8335,5.176,2.719,2.221,5.132,3
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,3
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,2
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3
11.24,13.0,0.8359,5.09,2.715,3.521,5.088,3
10.8,12.57,0.859,4.981,2.821,4.773,5.063,3
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,3
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1
11.14,12.79,0.8558,5.011,2.794,6.388,5.049,3
